"92914","64471","10","Spotting the mistakes in syntax ","Understanding Strings as objects","2015-09-18 13:51:10"
"null","14574","10","if statements",,"2015-09-18 13:51:10"
"64471","92914","10","For,while loops and ternary operators","getting used to using string methods","2015-09-18 13:51:11"
"10035","61368","6",,,"2015-09-18 13:51:12"
"75802","41454","10","Syntax","methods","2015-09-18 13:51:12"
"11027","22390","9","I feel good about the ternary operator now","I am still struggling with all the string methods.","2015-09-18 13:51:12"
"28270","24131","8","if statements","Blocks","2015-09-18 13:51:13"
"17304","62866","10","Ternary operator","objects","2015-09-18 13:51:13"
"38925","81391","9","String methods",,"2015-09-18 13:51:14"
"17052","42560","10",,,"2015-09-18 13:51:15"
"50707","null","6","All",,"2015-09-18 13:51:16"
"90660","1506","10",,,"2015-09-18 13:51:16"
"70442","24277","8",,,"2015-09-18 13:51:16"
"22390","11027","9","spotting errors in boolean statements","nothing really","2015-09-18 13:51:17"
"43507","28270","5","substrings","question marks and conditionals","2015-09-18 13:51:17"
"43849","56953","10",,,"2015-09-18 13:51:18"
"56953","47129","7",,,"2015-09-18 13:51:19"
"10035","61368","8",,,"2015-09-18 13:51:21"
"80478","3153","9",,,"2015-09-18 13:51:21"
"51327","31002","10",,,"2015-09-18 13:51:22"
"21071","14574","10","if statements",,"2015-09-18 13:51:24"
"null","16907","8","Blocks","Index","2015-09-18 13:51:25"
"null","null","10",,,"2015-09-18 13:51:25"
"41454","75802","10","Strings and if statements","ternary operators","2015-09-18 13:51:27"
"52875","66582","10",,,"2015-09-18 13:51:28"
"5213","42278","10","nest loop ","short-cut if loop","2015-09-18 13:51:31"
"90349","1747","10",,,"2015-09-18 13:51:31"
"6974","34320","10","Ternary Operators","Nothing :)","2015-09-18 13:51:34"
"53748","46859","10",,,"2015-09-18 13:51:35"
"94331","36350","6","if else statements",,"2015-09-18 13:51:41"
"23379","68856","9","ternary operator, if - else statements, ","syntax","2015-09-18 13:51:44"
"1747","90349","9","Strings/objects",,"2015-09-18 13:51:46"
"74708","27424","8",,,"2015-09-18 13:51:46"
"3153","80478","9",,,"2015-09-18 13:51:48"
"62866","17304","10","nested if statements","ternary operators","2015-09-18 13:51:48"
"60585","7982","10","ternary operator","spot the mistakes ","2015-09-18 13:51:51"
"13528","null","10",,,"2015-09-18 13:51:51"
"46859","53748","10",,"strings","2015-09-18 13:51:54"
"null","null","10","Loops","Boolean operations","2015-09-18 13:51:58"
"6728","99742","10","Learning about scopes and ternary operator","keeping track of variable change in while loops ","2015-09-18 13:52:12"
"4645","93507","7",,,"2015-09-18 13:52:14"
"97920","48141","10","ternary operator","string expressions","2015-09-18 13:52:16"
"7036","6974","10","while loop vs. if loop","ternary operator","2015-09-18 13:52:40"
"93507","4645","7",,,"2015-09-18 13:52:52"
"65434","7036","10",,,"2015-09-18 13:53:27"
"37155","59389","5",,,"2015-09-18 13:53:45"
"37155","59389","10",,,"2015-09-18 13:53:56"
"59389","37155","10",,,"2015-09-18 13:54:02"
"null","86683","10",,,"2015-09-18 13:56:09"
"null","86683","10",,,"2015-09-18 13:56:15"
"50067","86683","10",,,"2015-09-18 13:56:20"
"42278","5213","10","block VS minivan",,"2015-09-18 13:56:30"
"7036","65434","10",,,"2015-09-18 13:58:19"
"94503","88451","8","Conditionals,  ternary operator ","String subroutines","2015-09-18 14:02:14"
"64773","73479","10",,"Strings","2015-09-18 14:02:25"
"64773","35833","10",,,"2015-09-18 14:02:57"
"7315","93265","10",,,"2015-09-18 14:07:21"
"33190","79310","10",,,"2015-09-18 14:08:31"
"69794","49413","5",,,"2015-09-18 14:09:45"
"79310","33190","8",,,"2015-09-18 14:10:41"
"35833","64773","10",,,"2015-09-18 14:12:23"
"49413","69794","10","loops are cool",,"2015-09-18 14:13:07"
"93265","null","8","loops, syntax",,"2015-09-18 14:13:28"
"52750","26740","1","CS125","CS125","2015-09-18 14:32:49"
"60585","64773","10","ternary operator","spot the mistakes ","2015-09-18 14:41:55"
"60585","64773","10","ternary operator","spot the mistakes ","2015-09-18 14:42:04"
"40270","98192","10",,,"2015-09-18 14:43:11"
"98192","40270","10","ternary operator",,"2015-09-18 14:43:28"
"46782","75548","10","Ternary Operators and everything","Nothing","2015-09-18 14:46:40"
"75548","46782","10","Ternary operator, boolean expressions, loops","N/A","2015-09-18 14:47:31"
"40772","10493","7",,,"2015-09-18 14:47:37"
"10493","40772","8",,,"2015-09-18 14:48:14"
"33585","9130","5","if statements with else.","ternary operator with strings and concatenations.","2015-09-18 14:48:24"
"null","null","10","Boolean expressions, unary ","String operations","2015-09-18 14:48:45"
"79078","40772","8",,,"2015-09-18 14:48:55"
"83590","27770","10",,,"2015-09-18 14:49:02"
"35915","45227","8",,,"2015-09-18 14:49:11"
"27770","83590","9",,,"2015-09-18 14:49:14"
"35915","45227","8",,,"2015-09-18 14:49:21"
"14748","2743","5",,,"2015-09-18 14:49:23"
"32069","74830","10","understood the topics completely","having more practice with reading and finding the mistakes of given codes.","2015-09-18 14:49:26"
"9130","33585","8","4. composed of : one item ==> unary","3. spot the mistakes","2015-09-18 14:49:39"
"5225","55136","10",,,"2015-09-18 14:49:42"
"38669","63158","7","substring",,"2015-09-18 14:49:44"
"19262","66809","10",,,"2015-09-18 14:49:44"
"52681","56035","10",,,"2015-09-18 14:49:46"
"38008","33601","8",,,"2015-09-18 14:49:46"
"66809","19262","10",,,"2015-09-18 14:49:46"
"73166","null","10",,,"2015-09-18 14:49:48"
"63158","38669","10",,,"2015-09-18 14:49:48"
"2743","14748","10","ternary operators, for and while loops","none","2015-09-18 14:49:49"
"12742","18703","5",,,"2015-09-18 14:49:49"
"79209","5089","10",,,"2015-09-18 14:49:50"
"53087","85357","9",,,"2015-09-18 14:49:50"
"45227","35915","8",,,"2015-09-18 14:49:50"
"768","44540","10",,,"2015-09-18 14:49:51"
"11538","32184","9",,"coding, still need to get more familiar","2015-09-18 14:49:52"
"null","null","10","Ternary operator",".equals","2015-09-18 14:49:52"
"null","73166","10",,,"2015-09-18 14:49:54"
"4769","31921","7",,,"2015-09-18 14:49:56"
"97918","68627","10",,,"2015-09-18 14:49:56"
"28918","76301","5","all of em",,"2015-09-18 14:49:56"
"71942","87304","8",,,"2015-09-18 14:49:58"
"4940","24152","10",,,"2015-09-18 14:49:58"
"36290","4339","10",,"spot the mastikes","2015-09-18 14:49:58"
"84286","49137","9",,,"2015-09-18 14:49:59"
"73557","98566","7",,,"2015-09-18 14:50:00"
"44300","74574","7",,,"2015-09-18 14:50:01"
"68627","97918","10",,,"2015-09-18 14:50:02"
"98566","73557","6",,,"2015-09-18 14:50:02"
"58904","4481","8","Ternary","None","2015-09-18 14:50:02"
"4649","38276","10",,,"2015-09-18 14:50:03"
"75285","16184","10",,,"2015-09-18 14:50:03"
"44540","768","9",,"Syntax with java overall","2015-09-18 14:50:03"
"56035","52681","10",,,"2015-09-18 14:50:03"
"41239","92650","8","All of them ","Nothing","2015-09-18 14:50:04"
"6290","56885","6",,,"2015-09-18 14:50:04"
"75690","16596","7","Ternary Operators",,"2015-09-18 14:50:05"
"67286","12189","7","Operators","Nothing","2015-09-18 14:50:06"
"31181","82629","10",,,"2015-09-18 14:50:06"
"82629","31181","10",,,"2015-09-18 14:50:06"
"20189","60724","10",,,"2015-09-18 14:50:06"
"17918","17918","4","Pretty much everything",,"2015-09-18 14:50:06"
"74986","16400","10",,,"2015-09-18 14:50:07"
"60630","19479","10",,,"2015-09-18 14:50:07"
"16596","null","3","Ternary operator","Nothing","2015-09-18 14:50:08"
"57332","69809","10",,,"2015-09-18 14:50:08"
"64299","62549","9",,,"2015-09-18 14:50:10"
"1888","74055","10",,,"2015-09-18 14:50:10"
"35025","87158","10","everything but the below","terenary operator","2015-09-18 14:50:10"
"32184","11538","10",,,"2015-09-18 14:50:10"
"74574","44300","9",,,"2015-09-18 14:50:10"
"5089","79209","10",,,"2015-09-18 14:50:11"
"2933","null","8",,,"2015-09-18 14:50:12"
"19479","60630","10",,,"2015-09-18 14:50:12"
"34693","39299","10",,,"2015-09-18 14:50:12"
"40441","42921","10",,,"2015-09-18 14:50:13"
"2920","null","6","string manipulation, ternary operators",,"2015-09-18 14:50:13"
"60724","20189","10",,,"2015-09-18 14:50:13"
"34259","37284","7",,,"2015-09-18 14:50:14"
"25887","95686","10","If and While Statements","Everything else","2015-09-18 14:50:14"
"29086","48529","6",,,"2015-09-18 14:50:15"
"69809","57332","10",,,"2015-09-18 14:50:15"
"null","1888","10",,,"2015-09-18 14:50:15"
"56885","6290","8","Conditions","N/A","2015-09-18 14:50:17"
"60630","19479","10",,,"2015-09-18 14:50:18"
"42921","40441","10",,,"2015-09-18 14:50:19"
"33601","38008","9",,,"2015-09-18 14:50:19"
"86854","34594","8","Ternary operators",,"2015-09-18 14:50:21"
"39299","34693","10","Everything","Roller Coasters","2015-09-18 14:50:21"
"37284","34259","10",,,"2015-09-18 14:50:21"
"95940","52924","8","Ternary operators and ifs and whiles","Not much","2015-09-18 14:50:22"
"89738","20788","9",,,"2015-09-18 14:50:23"
"null","82851","10",,,"2015-09-18 14:50:25"
"27067","25448","8","Loops, and finding mistakes in syntax","The weird question mark thing","2015-09-18 14:50:25"
"48529","29086","7",,,"2015-09-18 14:50:26"
"14267","17121","8","For Loops and While Loops","Ternary operators","2015-09-18 14:50:26"
"87304","71942","9",,"understanding language/type of  language to use","2015-09-18 14:50:29"
"11554","56618","9","nested if statements","ternary operator","2015-09-18 14:50:31"
"17699","51998","7","Ternary Operator","Nuances of Specific methods of different classes (their parameters, what they return, ect)","2015-09-18 14:50:32"
"20788","89738","8",,,"2015-09-18 14:50:32"
"62349","74057","10",,,"2015-09-18 14:50:32"
"12189","67286","8","booleans, if statements, loops","for loops","2015-09-18 14:50:33"
"76301","28918","6",,"algorithms","2015-09-18 14:50:33"
"2933","49957","8",,,"2015-09-18 14:50:34"
"15608","68165","9","Just about everything","Just about nothing","2015-09-18 14:50:34"
"83991","6515","8","if statements and loops","ternary, dice problem","2015-09-18 14:50:38"
"17121","14267","10","Control flow and operators",,"2015-09-18 14:50:38"
"62549","85808","10","reading code and analyzing","the count and s.subscript","2015-09-18 14:50:38"
"85808","64299","10","eveything",,"2015-09-18 14:50:39"
